Geo_ID,Area Name,Area Type,Year,Variable,Value
37119,Mecklenburg County,County,2000,Vehicles Inspected,615488
37119,Mecklenburg County,County,2018,Motorcyclist Fatalities,5
37119,Mecklenburg County,County,2015,Auto and Truck Registrations,700411
37119,Mecklenburg County,County,2016,Traffic Accident Fatalities,93
37119,Mecklenburg County,County,2016,Paved Highway Mileage,969
37119,Mecklenburg County,County,2011,Paved Highway Mileage,962.83
37119,Mecklenburg County,County,2011,Secondary Highway Mileage,660.4
37119,Mecklenburg County,County,2010,Auto and Truck Registrations,596811
37119,Mecklenburg County,County,2008,Paved Highway Mileage,1013.45
37119,Mecklenburg County,County,2007,Persons Injured in Traffic Accidents,14287
37119,Mecklenburg County,County,2009,Persons Injured in Traffic Accidents,11455
37119,Mecklenburg County,County,2007,Auto and Truck Registrations,619015
37119,Mecklenburg County,County,2005,Unpaved Highway Mileage,17.48
37119,Mecklenburg County,County,2003,Secondary Highway Mileage,713.14
37119,Mecklenburg County,County,2000,Traffic Accidents,27706
37119,Mecklenburg County,County,1983,Paved Highway Mileage,1025.5
37119,Mecklenburg County,County,1983,Persons Injured in Traffic Accidents,9341
37119,Mecklenburg County,County,1983,Auto and Truck Registrations,297107
37119,Mecklenburg County,County,1995,Secondary Highway Mileage,806.83
37119,Mecklenburg County,County,1995,Traffic Accident Fatalities,58
37119,Mecklenburg County,County,1995,Traffic Accidents,25552
37119,Mecklenburg County,County,1982,Primary Highway Mileage,264.83
37119,Mecklenburg County,County,1993,Persons Injured in Traffic Accidents,14512
37119,Mecklenburg County,County,1981,Persons Injured in Traffic Accidents,8928
37119,Mecklenburg County,County,1980,Secondary Highway Mileage,880.85
37119,Mecklenburg County,County,1980,Auto and Truck Registrations,288728
37119,Mecklenburg County,County,1979,Auto and Truck Registrations,285695
37119,Mecklenburg County,County,1990,Primary Highway Mileage,259.03
37119,Mecklenburg County,County,1989,Paved Highway Mileage,1014.64
37119,Mecklenburg County,County,1989,Traffic Accident Fatalities,76
37119,Mecklenburg County,County,1989,Traffic Accidents,21763
37119,Mecklenburg County,County,1970,Traffic Accident Fatalities,85
37119,Mecklenburg County,County,1988,Paved Highway Mileage,1032.94
