Geo_ID;Area Name;Area Type;Year;Variable;Value
37119;Mecklenburg County;County;2016;Paved Highway Mileage;969.0
37119;Mecklenburg County;County;2011;Paved Highway Mileage;962.83
37119;Mecklenburg County;County;2011;Secondary Highway Mileage;660.4
37119;Mecklenburg County;County;2010;Auto and Truck Registrations;596811.0
37119;Mecklenburg County;County;2008;Paved Highway Mileage;1013.45
37119;Mecklenburg County;County;2007;Persons Injured in Traffic Accidents;14287.0
37119;Mecklenburg County;County;2009;Persons Injured in Traffic Accidents;11455.0
37119;Mecklenburg County;County;2007;Auto and Truck Registrations;619015.0
37119;Mecklenburg County;County;2005;Unpaved Highway Mileage;17.48
37119;Mecklenburg County;County;2003;Secondary Highway Mileage;713.14
37119;Mecklenburg County;County;2000;Traffic Accidents;27706.0
37119;Mecklenburg County;County;1983;Paved Highway Mileage;1025.5
37119;Mecklenburg County;County;1983;Persons Injured in Traffic Accidents;9341.0
37119;Mecklenburg County;County;1983;Auto and Truck Registrations;297107.0
37119;Mecklenburg County;County;1995;Secondary Highway Mileage;806.83
37119;Mecklenburg County;County;1995;Traffic Accident Fatalities;58.0
37119;Mecklenburg County;County;1995;Traffic Accidents;25552.0
37119;Mecklenburg County;County;1982;Primary Highway Mileage;264.83
37119;Mecklenburg County;County;1993;Persons Injured in Traffic Accidents;14512.0
37119;Mecklenburg County;County;1981;Persons Injured in Traffic Accidents;8928.0
37119;Mecklenburg County;County;1980;Secondary Highway Mileage;880.85
37119;Mecklenburg County;County;1980;Auto and Truck Registrations;288728.0
37119;Mecklenburg County;County;1979;Auto and Truck Registrations;285695.0
37119;Mecklenburg County;County;1990;Primary Highway Mileage;259.03
37119;Mecklenburg County;County;1989;Paved Highway Mileage;1014.64
37119;Mecklenburg County;County;1989;Traffic Accident Fatalities;76.0
37119;Mecklenburg County;County;1989;Traffic Accidents;21763.0
37119;Mecklenburg County;County;1970;Traffic Accident Fatalities;85.0
37119;Mecklenburg County;County;1988;Paved Highway Mileage;1032.94
37119;Mecklenburg County;County;1971;Traffic Accidents;12988.0
37119;Mecklenburg County;County;1987;Traffic Accident Fatalities;77.0
37119;Mecklenburg County;County;1987;Auto and Truck Registrations;357662.0
37119;Mecklenburg County;County;1986;Primary Highway Mileage;260.13
37119;Mecklenburg County;County;1986;Auto and Truck Registrations;348197.0
37119;Mecklenburg County;County;1997;Paved Highway Mileage;1006.72
37119;Mecklenburg County;County;1997;Primary Highway Mileage;273.92
37119;Mecklenburg County;County;1997;Persons Injured in Traffic Accidents;17635.0
37119;Mecklenburg County;County;1997;Auto and Truck Registrations;449918.0
37119;Mecklenburg County;County;1996;Auto and Truck Registrations;445588.0
37119;Mecklenburg County;County;2002;Unpaved Highway Mileage;21.65
37119;Mecklenburg County;County;2001;Persons Injured in Traffic Accidents;15729.0
